symbol,exchange
BTC,Binance
ETH,Binance
NEO,Binance
MTL,Binance
XRP,Binance
ETC,Binance
SNT,Binance
WAVES,Binance
XEM,Binance
QTUM,Binance
LSK,Binance
STEEM,Binance
XLM,Binance
ARDR,Binance
ARK,Binance
STORJ,Binance
ADA,Binance
POWR,Binance
ICX,Binance
BTG,Binance
EOS,Binance
TRX,Binance
ONT,Binance
SC,Binance
ZRX,Binance
LOOM,Binance
ZIL,Binance
POLYX,Binance
BCH,Binance
BAT,Binance
CVC,Binance
IOST,Binance
STMX,Binance
VET,Binance
IQ,Binance
IOTA,Binance
HIFI,Binance
ONG,Binance
GAS,Binance
ELF,Binance
TFUEL,Binance
KNC,Binance
THETA,Binance
QKC,Binance
BTT,Binance
AERGO,Binance
ANKR,Binance
MANA,Binance
WAXP,Binance
MBL,Binance
CHZ,Binance
ATOM,Binance
STPT,Binance
HBAR,Binance
FLOW,Binance
DOT,Binance
TON,Binance
SXP,Binance
STRAX,Binance
JST,Binance
LINK,Binance
XTZ,Binance
KAVA,Binance
HIVE,Binance
SEI,Binance
MINA,Binance
ASTR,Binance
ID,Binance
PYTH,Binance
BEAM,Binance
STG,Binance
AUCTION,Binance
ZRO,Binance
GRT,Binance
AXS,Binance
STX,Binance
XEC,Binance
DOGE,Binance
SAND,Binance
GLM,Binance
POL,Binance
SOL,Binance
AAVE,Binance
PUNDIX,Binance
EGLD,Binance
ARB,Binance
MASK,Binance
SHIB,Binance
APT,Binance
GMT,Binance
CELO,Binance
T,Binance
AVAX,Binance
NEAR,Binance
ALGO,Binance
1INCH,Binance
SUI,Binance
IMX,Binance
BLUR,Binance
CKB,Binance
PENDLE,Binance
BONK,Binance
PEPE,Binance
UNI,Binance
W,Binance
INJ,Binance
AGLD,Binance
JUP,Binance
ENS,Binance
G,Binance
CTC,OKX
ONDO,OKX
UXLINK,OKX
ATH,OKX
MEW,OKX
SAFE,OKX
BIGTIME,OKX
ZETA,OKX
BORA,OKX
CRO,OKX
ORBS,OKX
BSV,OKX
MVL,MEXC
DKA,MEXC
FCT2,MEXC
HPO,MEXC
STRIKE,MEXC
GAME2,MEXC
DRIFT,MEXC
CARV,MEXC
MNT,MEXC
TAIKO,MEXC
CBK,MEXC
BLAST,MEXC
MLK,Gate.io
TT,Gate.io
AQT,Gate.io
MED,Gate.io
AKT,Gate.io
META,Upbit
SBD,Upbit
GRS,Upbit
MOC,Upbit
BOUNTY,Upbit
HUNT,Upbit
AHT,Upbit
